Date,SampleSize,Cohort
2017-05-19,2,Popart-Zambia-Copperbelt
2017-04-21,8,Popart-Zambia-Copperbelt
2017-04-24,10,Popart-Zambia-Copperbelt
2017-04-25,11,Popart-Zambia-Copperbelt
2017-04-26,6,Popart-Zambia-Copperbelt
2017-04-27,4,Popart-Zambia-Copperbelt
2017-04-28,6,Popart-Zambia-Copperbelt
2017-05-09,8,Popart-Zambia-Copperbelt
2017-05-18,1,Popart-Zambia-Copperbelt
2017-05-22,7,Popart-Zambia-Copperbelt
2017-05-23,7,Popart-Zambia-Copperbelt
2017-05-26,5,Popart-Zambia-Copperbelt
2017-05-30,5,Popart-Zambia-Copperbelt
2017-06-01,1,Popart-Zambia-Copperbelt
2017-06-05,4,Popart-Zambia-Copperbelt
2017-06-07,7,Popart-Zambia-Copperbelt
2017-07-12,5,Popart-Zambia-Copperbelt
2017-06-08,2,Popart-Zambia-Copperbelt
2017-06-09,9,Popart-Zambia-Copperbelt
2017-07-14,4,Popart-Zambia-Copperbelt
2017-06-12,10,Popart-Zambia-Copperbelt
2017-07-13,4,Popart-Zambia-Copperbelt
2017-07-18,3,Popart-Zambia-Copperbelt
2017-06-13,3,Popart-Zambia-Copperbelt
2017-07-17,2,Popart-Zambia-Copperbelt
2017-06-21,4,Popart-Zambia-Copperbelt
2017-05-24,2,Popart-Zambia-Copperbelt
2017-06-27,2,Popart-Zambia-Copperbelt
2017-06-22,3,Popart-Zambia-Copperbelt
2017-05-29,2,Popart-Zambia-Copperbelt
2017-06-26,1,Popart-Zambia-Copperbelt
2017-07-06,4,Popart-Zambia-Copperbelt
2017-05-31,5,Popart-Zambia-Copperbelt
2017-07-11,2,Popart-Zambia-Copperbelt
2017-06-30,4,Popart-Zambia-Copperbelt
2017-07-05,6,Popart-Zambia-Copperbelt
2017-10-06,14,Popart-Zambia-Copperbelt
2017-09-19,8,Popart-Zambia-Copperbelt
2017-06-20,3,Popart-Zambia-Copperbelt
2017-09-14,3,Popart-Zambia-Copperbelt
2017-06-23,2,Popart-Zambia-Copperbelt
2017-06-29,1,Popart-Zambia-Copperbelt
2017-06-28,1,Popart-Zambia-Copperbelt
2017-07-07,1,Popart-Zambia-Copperbelt
2017-07-10,5,Popart-Zambia-Copperbelt
2000-01-08,1,Popart-Zambia-Copperbelt
2017-09-11,5,Popart-Zambia-Copperbelt
2017-06-06,2,Popart-Zambia-Copperbelt
2017-06-14,4,Popart-Zambia-Copperbelt
2017-06-15,2,Popart-Zambia-Copperbelt
2017-06-19,2,Popart-Zambia-Copperbelt
2016-09-08,2,Popart-Zambia-Copperbelt
2018-06-11,3,Popart-Zambia-Copperbelt
2018-06-13,5,Popart-Zambia-Copperbelt
2018-06-14,3,Popart-Zambia-Copperbelt
2016-09-28,4,Popart-Zambia-Copperbelt
2016-09-29,3,Popart-Zambia-Copperbelt
2017-11-06,3,Popart-Zambia-Copperbelt
2017-11-14,7,Popart-Zambia-Copperbelt
2017-11-16,7,Popart-Zambia-Copperbelt
2017-12-11,1,Popart-Zambia-Copperbelt
2017-12-12,4,Popart-Zambia-Copperbelt
2017-12-13,3,Popart-Zambia-Copperbelt
2017-12-15,3,Popart-Zambia-Copperbelt
2017-12-18,6,Popart-Zambia-Copperbelt
2017-12-19,1,Popart-Zambia-Copperbelt
2017-12-20,2,Popart-Zambia-Copperbelt
2018-01-08,2,Popart-Zambia-Copperbelt
2018-01-09,6,Popart-Zambia-Copperbelt
2018-01-10,5,Popart-Zambia-Copperbelt
2018-01-11,4,Popart-Zambia-Copperbelt
2017-10-19,5,Popart-Zambia-Copperbelt
2017-10-20,6,Popart-Zambia-Copperbelt
2017-11-17,7,Popart-Zambia-Copperbelt
2017-11-15,14,Popart-Zambia-Copperbelt
2017-10-31,12,Popart-Zambia-Copperbelt
2017-10-23,1,Popart-Zambia-Copperbelt
2018-01-22,6,Popart-Zambia-Copperbelt
2018-01-23,1,Popart-Zambia-Copperbelt
2018-01-24,5,Popart-Zambia-Copperbelt
2018-01-26,3,Popart-Zambia-Copperbelt
2018-01-29,7,Popart-Zambia-Copperbelt
2018-01-30,2,Popart-Zambia-Copperbelt
2018-01-31,4,Popart-Zambia-Copperbelt
2018-02-01,2,Popart-Zambia-Copperbelt
